Date,Day,High Temp (°F),Low Temp (°F),Precipitation,Brooklyn Bridge,Manhattan Bridge,Williamsburg Bridge,Queensboro Bridge,Total,
5/1,Sunday,50.0,45,0.16,"2,634","1,525","2,062","1,408","7,629",
5/2,Monday,59.0,46,0.04,"2,505","4,149","4,864","3,575","15,093",
5/3,Tuesday,54.0,51.1,0.61,"1,059","1,986","2,614","1,741","7,400",
5/4,Wednesday,51.1,48.9,0.01,"1,710","2,905","3,797","2,693","11,105",
5/5,Thursday,57.0,46.9,0.00,"2,582","4,196","4,971","3,619","15,368",
5/6,Friday,53.1,48,0.54,652,"1,453","2,122","1,612","5,839",
5/7,Saturday,57.9,48.9,0.00,"1,867","3,157","3,789","2,749","11,562",
5/8,Sunday,64.9,50,0.16,"1,916","2,927","3,948","2,463","11,254",
5/9,Monday,72.0,55,0.00,"3,650","6,591","7,386","4,951","22,578",
5/10,Tuesday,62.1,51.1,0.00,"3,384","6,283","7,335","4,796","21,798",
5/11,Wednesday,73.9,53.1,0.00,"3,883","7,216","8,231","5,327","24,657",
5/12,Thursday,79.0,57.9,0.00,"3,960","7,103","8,333","5,735","25,131",
5/13,Friday,64.9,60.1,0.25,"1,780","3,072","4,229","3,121","12,202",
5/14,Saturday,71.6,60.8,T,"2,556","4,042","5,479","3,951","16,028",
5/15,Sunday,57.2,50,T,"1,738","2,971","3,486","2,696","10,891",
5/16,Monday,66.2,46.4,0.00,"2,907","5,254","5,961","4,016","18,138",
5/17,Tuesday,64.4,55.4,T,"2,812","5,230","6,219","4,344","18,605",
5/18,Wednesday,68.0,53.6,T,"3,309","5,812","6,739","4,603","20,463",
5/19,Thursday,71.1,57,0.00,"3,474","6,214","7,485","4,763","21,936", 
5/20,Friday,75.0,55,0.00,"3,976","6,994","7,776","5,221","23,967",
5/21,Saturday,66.0,55,0.04,"1,665","2,864","3,978","2,928","11,435",
5/22,Sunday,69.1,53.1,0.09,"2,117","3,729","4,633","2,956","13,435",
5/23,Monday,77.0,57.9,0.02,"3,928","6,843","7,769","5,135","23,675",
5/24,Tuesday,73.0,59,0.18,"1,482","3,019","4,260","2,392","11,153",
5/25,Wednesday,87.1,64,0.00,"4,244","7,869","8,959","5,906","26,978",
5/26,Thursday,89.1,71.1,0.00,"3,887","7,037","8,231","5,451","24,606",
5/27,Friday,86.0,75,0.00,"3,302","5,670","7,054","4,592","20,618",
5/28,Saturday,90.0,72,0.00,"2,664","3,998","5,327","3,895","15,884",
5/29,Sunday,86.0,73,T,"3,193","4,154","4,918","3,635","15,900",
5/30,Monday,79.0,68,1.65,"1,719","2,750","3,759","2,689","10,917",
5/31,Tuesday,84.9,72,0.00,"3,948","7,016","7,957","5,556","24,477",
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
