Date,Day,High Temp (°F),Low Temp (°F),Precipitation,Brooklyn Bridge,Manhattan Bridge,Williamsburg Bridge,Queensboro Bridge,Total,
6/1,Wednesday,82.0,71.1,0.00,"4,126","7,565","9,028","5,823","26,542",
6/2,Thursday,75.9,63,0.00,"4,161","7,229","8,764","5,833","25,987",
6/3,Friday,70.0,64,0.04,"1,864","3,708","4,961","3,189","13,722",
6/4,Saturday,82.9,66.9,0.40,"3,134","4,840","6,051","4,193","18,218",
6/5,Sunday,70.0,64.9,0.91,918,"1,593","2,473","1,805","6,789",
6/6,Monday,82.0,66.9,0.00,"4,280","7,542","8,489","5,654","25,965",
6/7,Tuesday,84.0,71.1,T,"3,956","7,319","8,527","5,447","25,249",
6/8,Wednesday,66.0,52,0.45,"2,630","5,266","6,325","4,094","18,315",
6/9,Thursday,71.1,54,0.00,"3,733","6,933","7,913","5,017","23,596",
6/10,Friday,75.9,57,0.00,"3,932","6,697","8,077","5,079","23,785",
6/11,Saturday,87.1,63,0.00,"2,507","4,086","5,632","3,661","15,886",
6/12,Sunday,82.0,66.9,0.00,"2,684","4,475","5,513","3,855","16,527",
6/13,Monday,73.9,57.9,0.00,"3,696","6,952","7,913","5,108","23,669",
6/14,Tuesday,79.0,59,0.00,"4,075","7,751","8,942","5,600","26,368",
6/15,Wednesday,84.0,64.9,0.00,"3,966","7,559","9,037","5,840","26,402",
6/16,Thursday,72.0,66,0.22,"3,373","5,196","6,184","3,633","18,386",
6/17,Friday,75.9,66,0.00,"5,354","6,589","8,106","5,179","25,228",
6/18,Saturday,86.0,64,0.00,"4,804","5,077","6,344","4,309","20,534",
6/19,Sunday,87.1,68,0.00,"4,135","4,622","5,339","4,000","18,096",
6/20,Monday,82.0,66.9,0.00,"4,057","7,049","8,297","5,334","24,737",
6/21,Tuesday,86.0,72,T,"3,773","6,851","9,008","4,969","24,601",
6/22,Wednesday,84.0,69.1,0.00,"4,428","7,495","8,788","5,680","26,391",
6/23,Thursday,81.0,69.1,0.00,"3,580","6,204","7,660","5,066","22,510",
6/24,Friday,82.9,70,0.00,"4,283","6,660","7,925","5,572","24,440",
6/25,Saturday,84.9,66.9,0.00,"3,577","4,835","6,441","4,618","19,471",
6/26,Sunday,86.0,69.1,0.00,"2,895","4,767","5,834","4,050","17,546",
6/27,Monday,82.9,69.1,0.45,"3,985","6,571","7,557","5,315","23,428",
6/28,Tuesday,75.0,69.1,0.12,"3,004","4,813","6,400","4,410","18,627",
6/29,Wednesday,82.0,68,0.01,"4,066","7,142","8,594","5,994","25,796",
6/30,Thursday,84.0,68,0.00,"3,413","7,046","8,374","5,907","24,740",
