Date,Day,High Temp (°F),Low Temp (°F),Precipitation,Brooklyn Bridge,Manhattan Bridge,Williamsburg Bridge,Queensboro Bridge,Total
8/1,Monday,78.1,70,T,"3,031","4,879","6,410","4,460","18,780"
8/2,Tuesday,77.0,70,0.00,"4,251","6,956","8,389","5,927","25,523"
8/3,Wednesday,78.1,66.9,0.00,"4,753","7,297","8,605","6,295","26,950"
8/4,Thursday,80.1,68,0.00,"4,465","6,935","8,617","6,246","26,263"
8/5,Friday,82.0,69.1,0.00,"4,254","6,072","7,500","5,765","23,591"
8/6,Saturday,84.9,75,0.05,"4,029","3,668","5,172","4,045","16,914"
8/7,Sunday,88.0,71.1,0.00,"3,526","4,430","5,364","4,026","17,346"
8/8,Monday,86.0,72,0.00,"4,266","6,362","7,897","5,615","24,140"
8/9,Tuesday,86.0,73,0.00,"4,707","7,113","8,510","6,223","26,553"
8/10,Wednesday,86.0,77,0.09,"3,077","4,893","6,641","4,934","19,545"
8/11,Thursday,91.0,80.1,0.15,"2,583","5,088","6,421","5,044","19,136"
8/12,Friday,93.0,75.9,0.32,"2,373","4,134","5,501","4,341","16,349"
8/13,Saturday,96.1,82,0.00,"3,481","3,134","4,226","3,721","14,562"
8/14,Sunday,93.9,78.1,0.06,"1,888","5,114","3,562","2,790","13,354"
8/15,Monday,91.0,77,0.00,"3,076","7,339","6,513","4,958","21,886"
8/16,Tuesday,87.1,78.1,0.11,"2,769","5,326","6,944","5,066","20,105"
8/17,Wednesday,84.9,77,0.01,"3,279","5,942","7,610","5,606","22,437"
8/18,Thursday,84.0,72,0.03,"3,179","5,658","7,411","5,487","21,735"
8/19,Friday,87.1,75,0.01,"3,060","4,700","6,867","5,265","19,892 " 
8/20,Saturday,82.9,70,0.82,"4,304","7,005","5,402","4,483","21,194"
8/21,Sunday,84.9,75,0.31,"1,937","4,866","3,920","3,048","13,771"
8/22,Monday,77.0,69.1,0.00,"3,699","4,973","7,866","5,515","22,053"
8/23,Tuesday,80.1,64,0.00,"3,961","4,115","8,766","6,072","22,914"
8/24,Wednesday,87.8,68,0.00,"3,633","3,087","8,395","6,112","21,227"
8/25,Thursday,86.0,71.6,0.00,"3,330","2,959","7,724","5,787","19,800"
8/26,Friday,89.6,77,0.00,"2,973","5,296","6,691","5,007","19,967"
8/27,Saturday,88.0,75.2,0.00,"2,849","5,401","5,703","4,215","18,168"
8/28,Sunday,87.1,73,0.00,"2,995","5,904","4,969","3,805","17,673"
8/29,Monday,90.0,73.9,0.00,"3,355","5,748","7,388","5,289","21,780"
8/30,Tuesday,84.0,70,0.00,"3,617","5,340","8,424","5,927","23,308"
8/31,Wednesday,88.0,75,T,"3,359","4,212","7,972","5,853","21,396"
